x-axis,F1
Hertz,dBV
+92.8000E+00,-85.27140E+00
+93.2000E+00,-83.36651E+00
+93.6000E+00,-81.46161E+00
+94.0000E+00,-79.55672E+00
+94.4000E+00,-77.65182E+00
+94.8000E+00,-75.74692E+00
+95.2000E+00,-73.84203E+00
+95.6000E+00,-73.50341E+00
+96.0000E+00,-74.29241E+00
+96.4000E+00,-75.08140E+00
+96.8000E+00,-75.87039E+00
+97.2000E+00,-76.65938E+00
+97.6000E+00,-77.44837E+00
+98.0000E+00,-78.23737E+00
+98.4000E+00,-79.02636E+00
+98.8000E+00,-79.81535E+00
+99.2000E+00,-80.52502E+00
+99.6000E+00,-79.53866E+00
+100.0000E+00,-78.55229E+00
+100.4000E+00,-77.56592E+00
+100.8000E+00,-76.57955E+00
+101.2000E+00,-75.59318E+00
+101.6000E+00,-74.60682E+00
+102.0000E+00,-73.62045E+00
+102.4000E+00,-72.63408E+00
+102.8000E+00,-71.64771E+00
+103.2000E+00,-73.01868E+00
+103.6000E+00,-76.67334E+00
+104.0000E+00,-80.32799E+00
+104.4000E+00,-83.98265E+00
+104.8000E+00,-87.63730E+00
+105.2000E+00,-91.29196E+00
+105.6000E+00,-94.94662E+00
+106.0000E+00,-98.60127E+00
+106.4000E+00,-102.25593E+00
+106.8000E+00,-105.91058E+00
+107.2000E+00,-102.61020E+00
+107.6000E+00,-99.10352E+00
+108.0000E+00,-95.59683E+00
+108.4000E+00,-92.09014E+00
+108.8000E+00,-88.58345E+00
+109.2000E+00,-85.07676E+00
+109.6000E+00,-81.57008E+00
+110.0000E+00,-78.06339E+00
+110.4000E+00,-74.55670E+00
+110.8000E+00,-73.13225E+00
+111.2000E+00,-74.41839E+00
+111.6000E+00,-75.70454E+00
+112.0000E+00,-76.99068E+00
+112.4000E+00,-78.27683E+00
+112.8000E+00,-79.56297E+00
+113.2000E+00,-80.84911E+00
+113.6000E+00,-82.13526E+00
+114.0000E+00,-83.42140E+00
+114.4000E+00,-84.70755E+00
+114.8000E+00,-83.70889E+00
+115.2000E+00,-82.44989E+00
+115.6000E+00,-81.19088E+00
+116.0000E+00,-79.93187E+00
+116.4000E+00,-78.67286E+00
+116.8000E+00,-77.41385E+00
+117.2000E+00,-76.15485E+00
+117.6000E+00,-74.89584E+00
+118.0000E+00,-73.63683E+00
+118.4000E+00,-73.05350E+00
+118.8000E+00,-73.66636E+00
+119.2000E+00,-74.27922E+00
+119.6000E+00,-74.89209E+00
+120.0000E+00,-75.50495E+00
+120.4000E+00,-76.11782E+00
+120.8000E+00,-76.73068E+00
+121.2000E+00,-77.34354E+00
+121.6000E+00,-77.95641E+00
+122.0000E+00,-78.56927E+00
+122.4000E+00,-78.11490E+00
+122.8000E+00,-77.43291E+00
+123.2000E+00,-76.75093E+00
+123.6000E+00,-76.06895E+00
+124.0000E+00,-75.38696E+00
+124.4000E+00,-74.70498E+00
